x,y,z,zoneLetter,zoneNumber,x_rel,y_rel,z_rel
596157.5477729497,7262125.5374601325,1016.7,J,22.0,172.4392859521322,14.05404405016452,2.259999999999991
596155.7033057078,7262124.798419557,1016.7,J,22.0,170.59481871023308,13.315003474242985,2.259999999999991
596153.918294852,7262124.077536665,1016.72,J,22.0,168.80980785447173,12.594120582565665,2.2799999999999727
596152.0737636006,7262123.329227107,1016.72,J,22.0,166.9652766030049,11.845811024308205,2.2799999999999727
596150.3301004764,7262122.459542691,1016.72,J,22.0,165.22161347884685,10.97612660843879,2.2799999999999727
596148.593363332,7262121.367033816,1016.73,J,22.0,163.48487633443438,9.883617733605206,2.2899999999999636
596146.8401303166,7262120.339621733,1016.73,J,22.0,161.73164331901353,8.856205650605261,2.2899999999999636
596145.279708109,7262119.004551008,1016.72,J,22.0,160.17122111143544,7.521134926006198,2.2799999999999727
596143.633173019,7262117.475164656,1016.72,J,22.0,158.52468602149747,5.991748573258519,2.2799999999999727
596142.1672095616,7262116.315802077,1016.72,J,22.0,157.05872256401926,4.832385994493961,2.2799999999999727
596140.5495895828,7262115.287435781,1016.72,J,22.0,155.44110258528963,3.8040196988731623,2.2799999999999727
596139.059688536,7262114.341735311,1016.72,J,22.0,153.9512015384389,2.858319228515029,2.2799999999999727
596137.3087789178,7262113.648453485,1016.72,J,22.0,152.20029192022048,2.165037402883172,2.2799999999999727
596135.6928365635,7262112.861422233,1016.71,J,22.0,150.58434956590645,1.378006150946021,2.269999999999982
596134.2884586412,7262112.026509523,1016.7,J,22.0,149.17997164360713,0.543093441054225,2.259999999999991
596133.6320153049,7262111.483416082,1016.7,J,22.0,148.52352830732707,0.0,2.259999999999991
596133.7426571995,7262111.547629658,1016.7,J,22.0,148.6341702019563,0.06421357579529285,2.259999999999991
596133.8783336198,7262111.55596695,1019.01,J,22.0,148.76984662225004,0.0725508676841855,4.569999999999936
596133.9461446468,7262111.555495769,1019.89,J,22.0,148.83765764930286,0.07207968644797802,5.449999999999932
596133.516908335,7262111.994739402,1019.88,J,22.0,148.4084213374881,0.511323319748044,5.439999999999941
596132.5979476522,7262112.706562064,1017.17,J,22.0,147.48946065467317,1.2231459813192487,2.7299999999999045
596132.1583671804,7262112.876701264,1017.18,J,22.0,147.0498801828362,1.3932851813733578,2.7399999999998954
596131.6863100207,7262113.251260004,1017.17,J,22.0,146.57782302319538,1.7678439216688275,2.7299999999999045
596130.6055706909,7262115.078076063,1017.17,J,22.0,145.4970836933935,3.5946599803864956,2.7299999999999045
596129.578983363,7262117.377896994,1016.34,J,22.0,144.47049636545125,5.894480912014842,1.8999999999999773
596129.171569972,7262119.738387063,1016.38,J,22.0,144.0630829744041,8.254970980808139,1.9399999999999409
596128.8312581233,7262121.996308397,1016.32,J,22.0,143.7227711257292,10.512892314232886,1.8799999999999955
596128.7319764833,7262123.565677734,1016.29,J,22.0,143.62348948570434,12.08226165175438,1.849999999999909
596128.426563096,7262124.746629402,1016.26,J,22.0,143.31807609845418,13.263213319703937,1.8199999999999363
596128.0496369528,7262126.614966293,1016.38,J,22.0,142.94114995526616,15.131550210528076,1.9399999999999409
596128.0150348975,7262128.95430593,1016.38,J,22.0,142.90654789994005,17.47088984772563,1.9399999999999409
596127.2515087462,7262131.298710075,1016.34,J,22.0,142.14302174863406,19.815293992869556,1.8999999999999773
596125.9852046527,7262133.256757511,1016.35,J,22.0,140.87671765510458,21.773341428488493,1.9099999999999682
596125.0717980872,7262134.766800784,1018.67,J,22.0,139.96331108966842,23.283384701237082,4.2299999999999045
596125.1399861012,7262134.822029361,1019.69,J,22.0,140.031499103643,23.338613278232515,5.25
596125.328102082,7262136.278008277,1019.7,J,22.0,140.2196150844684,24.794592194259167,5.259999999999991
596125.3171255719,7262138.357287498,1019.71,J,22.0,140.20863857434597,26.8738714158535,5.269999999999982
596124.9089368572,7262140.606400201,1019.71,J,22.0,139.80044985970017,29.122984118759632,5.269999999999982
596124.5698489121,7262143.040677691,1019.7,J,22.0,139.46136191452388,31.557261608541012,5.259999999999991
596124.4592189987,7262145.417676657,1019.69,J,22.0,139.35073200112674,33.93426057510078,5.25
596124.33959923,7262147.720475684,1019.7,J,22.0,139.23111223243177,36.23705960158259,5.259999999999991
596124.3319112079,7262150.273113223,1019.74,J,22.0,139.22342421032954,38.789697140455246,5.2999999999999545
596124.4249525547,7262152.685828323,1019.74,J,22.0,139.31646555720363,41.202412240207195,5.2999999999999545
596124.6158415736,7262154.540928915,1019.7,J,22.0,139.50735457602423,43.057512832805514,5.259999999999991
596124.8431511775,7262156.757775153,1019.65,J,22.0,139.73466417996679,45.27435907069594,5.209999999999923
596125.1808995309,7262159.01099636,1019.67,J,22.0,140.07241253333632,47.527580277994275,5.2299999999999045
596125.550103071,7262160.911269285,1019.69,J,22.0,140.4416160734836,49.427853202447295,5.25
596125.9969460785,7262163.005927707,1019.67,J,22.0,140.88845908094663,51.52251162473112,5.2299999999999045
596126.2672159096,7262165.306017855,1019.7,J,22.0,141.15872891200706,53.82260177284479,5.259999999999991
596125.6642799712,7262167.584323622,1019.67,J,22.0,140.55579297360964,56.10090753994882,5.2299999999999045
596124.2089912723,7262169.1816849895,1019.68,J,22.0,139.10050427471288,57.698268907144666,5.239999999999895
596122.6771590769,7262170.7424467765,1019.66,J,22.0,137.5686720793601,59.259030694141984,5.219999999999914
