x,y,z,zoneLetter,zoneNumber,x_rel,y_rel,z_rel
460446.5168125002,7242082.795085815,885.38,J,22.0,96.21504278219072,149.89991576131433,16.340000000000032
460445.48455739435,7242073.9191862345,882.71,J,22.0,95.18278767634183,141.02401618100703,13.670000000000073
460444.6112838049,7242068.607763274,881.95,J,22.0,94.30951408686815,135.7125932201743,12.910000000000082
460437.97054338094,7242056.003173828,881.08,J,22.0,87.6687736629392,123.10800377465785,12.040000000000077
460437.2134582311,7242042.682325361,880.21,J,22.0,86.9116885131225,109.78715530782938,11.170000000000073
460436.7746009325,7242039.330507016,879.4,J,22.0,86.47283121448709,106.43533696234226,10.360000000000014
460437.61422098445,7242024.0280609755,878.6,J,22.0,87.31245126645081,91.1328909220174,9.56000000000006
460437.5894295821,7242012.082965357,878.64,J,22.0,87.287659864116,79.18779530376196,9.600000000000023
460433.1745311489,7242008.237052277,878.66,J,22.0,82.87276143091731,75.34188222326338,9.620000000000005
460429.93952855776,7242000.217962217,878.71,J,22.0,79.63775883975904,67.32279216311872,9.670000000000073
460436.114366817,7241983.622236542,878.66,J,22.0,85.81259709899314,50.72706648893654,9.620000000000005
460437.9540893624,7241979.534486851,878.66,J,22.0,87.65231964440318,46.63931679725647,9.620000000000005
460438.9028719732,7241967.462255985,877.79,J,22.0,88.60110225516837,34.5670859310776,8.75
460438.6337155608,7241963.953147167,877.9,J,22.0,88.33194584277226,31.057977113872766,8.860000000000014
460441.99973921204,7241952.9459465705,875.53,J,22.0,91.69796949403826,20.050776517018676,6.490000000000009
460445.5278665833,7241944.41732209,873.97,J,22.0,95.2260968653136,11.522152036428452,4.930000000000064
460447.4481889742,7241938.789102812,873.13,J,22.0,97.14641925616888,5.893932758830488,4.090000000000032
460449.47831023415,7241936.168345332,873.14,J,22.0,99.17654051614227,3.2731752786785364,4.100000000000023
460449.17578005965,7241935.434250744,872.39,J,22.0,98.87401034164941,2.5390806905925274,3.3500000000000227
460494.39531192277,7241942.980293597,869.04,J,22.0,144.09354220476234,10.08512354362756,0.0
460494.75575317006,7241944.178624319,869.04,J,22.0,144.45398345205467,11.28345426544547,0.0
460497.53811602195,7241947.759933695,873.28,J,22.0,147.236346303951,14.864763641729951,4.240000000000009
460498.2128751026,7241948.541505929,873.28,J,22.0,147.91110538458452,15.646335875615478,4.240000000000009
460500.17506906734,7241951.87913887,874.13,J,22.0,149.87329934933223,18.983968816697598,5.090000000000032
460502.91965442884,7241956.824700902,874.14,J,22.0,152.61788471083855,23.929530848748982,5.100000000000023
460511.10833848536,7241969.684309262,875.92,J,22.0,160.80656876735156,36.78913920838386,6.8799999999999955
460517.6148723164,7241978.937925203,875.89,J,22.0,167.31310259841848,46.04275514930487,6.850000000000023
460527.2649977467,7241992.711300001,876.67,J,22.0,176.96322802867508,59.81612994708121,7.6299999999999955
460533.0667723062,7242002.79820705,878.44,J,22.0,182.7650025882176,69.90303699672222,9.400000000000091
460539.4474652516,7242008.7380250245,879.25,J,22.0,189.14569553360343,75.84285497106612,10.210000000000036
460545.9871256908,7242012.376536841,880.73,J,22.0,195.6853559727897,79.4813667871058,11.690000000000055
460548.18300917995,7242022.740788629,880.75,J,22.0,197.88123946194537,89.84561857581139,11.710000000000036
460552.96074604744,7242035.794747738,881.52,J,22.0,202.65897632943233,102.89957768470049,12.480000000000018
460559.18686178315,7242048.416646782,882.4,J,22.0,208.88509206514573,115.52147672884166,13.360000000000014
460560.1938958012,7242051.371000116,882.39,J,22.0,209.8921260831994,118.47583006229252,13.350000000000023
